Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,4.6244,4.6052,4.6331,4.601,,0.50%
2024-04-02,4.6124,4.6269,4.6364,4.6092,,-0.26%
2024-04-03,4.5832,4.6147,4.6196,4.5844,,-0.63%
2024-04-04,4.5819,4.5858,4.591,4.5675,,-0.03%
2024-04-05,4.5786,4.5851,4.6047,4.578,,-0.07%
2024-04-08,4.5732,4.584,4.5925,4.5729,,-0.12%
2024-04-09,4.5741,4.5752,4.5818,4.5635,,0.02%
2024-04-10,4.624,4.5764,4.6331,4.5712,,1.09%
2024-04-11,4.6332,4.6262,4.6491,4.6208,,0.20%
2024-04-12,4.6686,4.6356,4.6822,4.6328,,0.76%
2024-04-15,4.6805,4.6698,4.6866,4.6542,,0.25%
2024-04-16,4.6836,4.6832,4.6944,4.6691,,0.07%
2024-04-17,4.6597,4.6855,4.6927,4.6573,,-0.51%
2024-04-18,4.6735,4.6611,4.6771,4.6516,,0.30%
2024-04-19,4.6662,4.6753,4.69,4.6592,,-0.16%
2024-04-22,4.667,4.6669,4.6848,4.6627,,0.02%
2024-04-23,4.6482,4.67,4.6783,4.6446,,-0.40%
2024-04-24,4.6491,4.6498,4.6613,4.6436,,0.02%
2024-04-25,4.6358,4.651,4.6613,4.633,,-0.29%
2024-04-26,4.65,4.6379,4.6637,4.6274,,0.31%
2024-04-28,4.6481,4.6599,4.6599,4.6481,,-0.04%
2024-04-29,4.6425,4.6481,4.6546,4.6364,,-0.12%
2024-04-30,4.6473,4.6431,4.6544,4.642,,0.10%
